detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
879433	23208	54319	41	5,54	0	2022-07-13 10:39:27.130
879434	23208	54319	41	5,51	0	2022-07-13 10:39:32.180
879435	23208	54319	40	5,53	0	2022-07-13 10:39:37.180
879436	23208	54319	40	5,54	0	2022-07-13 10:39:42.210
879437	23208	54319	41	5,54	0	2022-07-13 10:39:47.240
879438	23208	54319	41	5,56	0	2022-07-13 10:39:52.257
879439	23208	54319	41	5,55	0	2022-07-13 10:39:57.290
879440	23208	54319	41	5,55	0	2022-07-13 10:40:02.320
879441	23208	54319	41	5,52	1	2022-07-13 10:40:07.337
879442	23208	54319	40	5,6	1	2022-07-13 10:40:12.367
879443	23208	54319	40	5,55	0	2022-07-13 10:40:17.400
879444	23208	54319	41	5,61	0	2022-07-13 10:40:22.400
879445	23208	54319	41	5,55	1	2022-07-13 10:40:27.430
879446	23208	54319	41	5,58	1	2022-07-13 10:40:32.460
879447	23208	54319	40	5,58	0	2022-07-13 10:40:37.493
879448	23208	54319	41	5,61	0	2022-07-13 10:40:42.510
879449	23208	54319	40	5,56	0	2022-07-13 10:40:47.523
879450	23208	54319	40	5,57	0	2022-07-13 10:40:52.557
879451	23208	54319	41	5,57	0	2022-07-13 10:40:57.587
879452	23208	54319	41	5,58	1	2022-07-13 10:41:02.620
879453	23208	54319	41	5,53	0	2022-07-13 10:41:07.633
879454	23208	54319	41	5,52	1	2022-07-13 10:41:12.650
879455	23208	54319	41	5,56	1	2022-07-13 10:41:17.680
879456	23208	54319	41	5,54	0	2022-07-13 10:41:22.713
879457	23208	54319	41	5,55	0	2022-07-13 10:41:27.730
879458	23208	54319	40	5,57	1	2022-07-13 10:41:32.760
879459	23208	54319	41	5,58	0	2022-07-13 10:41:37.790
879460	23208	54319	41	5,75	1	2022-07-13 10:41:42.807
879461	23208	54319	41	8,34	1	2022-07-13 10:41:47.823
879462	23208	54319	41	10,72	1	2022-07-13 10:41:52.853
879463	23208	54319	41	11,09	0	2022-07-13 10:41:57.887
879464	23208	54319	40	11,06	1	2022-07-13 10:42:02.917
879465	23208	54319	40	11,07	0	2022-07-13 10:42:07.933
879466	23208	54319	41	10,98	1	2022-07-13 10:42:12.963
879467	23208	54319	40	11,03	1	2022-07-13 10:42:17.993
879468	23208	54319	41	11,04	0	2022-07-13 10:42:23.027
