detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp	date	time
879423	23208	54319	40	5,57	0	2022-07-13 10:38:36.897	2022-07-13	10:38:36
879424	23208	54319	41	5,54	0	2022-07-13 10:38:41.910	2022-07-13	10:38:41
879425	23208	54319	41	5,54	0	2022-07-13 10:38:46.943	2022-07-13	10:38:46
879426	23208	54319	40	5,5	0	2022-07-13 10:38:51.960	2022-07-13	10:38:51
879427	23208	54319	41	5,56	1	2022-07-13 10:38:56.973	2022-07-13	10:38:56
879428	23208	54319	40	5,59	0	2022-07-13 10:39:02.007	2022-07-13	10:39:02
879429	23208	54319	41	5,61	0	2022-07-13 10:39:07.037	2022-07-13	10:39:07
879430	23208	54319	40	5,58	0	2022-07-13 10:39:12.070	2022-07-13	10:39:12
879431	23208	54319	40	5,51	0	2022-07-13 10:39:17.100	2022-07-13	10:39:17
879432	23208	54319	40	5,55	0	2022-07-13 10:39:22.117	2022-07-13	10:39:22
879433	23208	54319	41	5,54	0	2022-07-13 10:39:27.130	2022-07-13	10:39:27
879434	23208	54319	41	5,51	0	2022-07-13 10:39:32.180	2022-07-13	10:39:32
879435	23208	54319	40	5,53	0	2022-07-13 10:39:37.180	2022-07-13	10:39:37
879436	23208	54319	40	5,54	0	2022-07-13 10:39:42.210	2022-07-13	10:39:42
879437	23208	54319	41	5,54	0	2022-07-13 10:39:47.240	2022-07-13	10:39:47
879438	23208	54319	41	5,56	0	2022-07-13 10:39:52.257	2022-07-13	10:39:52
879439	23208	54319	41	5,55	0	2022-07-13 10:39:57.290	2022-07-13	10:39:57
879440	23208	54319	41	5,55	0	2022-07-13 10:40:02.320	2022-07-13	10:40:02
879441	23208	54319	41	5,52	1	2022-07-13 10:40:07.337	2022-07-13	10:40:07
879442	23208	54319	40	5,6	1	2022-07-13 10:40:12.367	2022-07-13	10:40:12
879443	23208	54319	40	5,55	0	2022-07-13 10:40:17.400	2022-07-13	10:40:17
879444	23208	54319	41	5,61	0	2022-07-13 10:40:22.400	2022-07-13	10:40:22
879445	23208	54319	41	5,55	1	2022-07-13 10:40:27.430	2022-07-13	10:40:27
879446	23208	54319	41	5,58	1	2022-07-13 10:40:32.460	2022-07-13	10:40:32
879447	23208	54319	40	5,58	0	2022-07-13 10:40:37.493	2022-07-13	10:40:37
879448	23208	54319	41	5,61	0	2022-07-13 10:40:42.510	2022-07-13	10:40:42
879449	23208	54319	40	5,56	0	2022-07-13 10:40:47.523	2022-07-13	10:40:47
879450	23208	54319	40	5,57	0	2022-07-13 10:40:52.557	2022-07-13	10:40:52
879451	23208	54319	41	5,57	0	2022-07-13 10:40:57.587	2022-07-13	10:40:57
879452	23208	54319	41	5,58	1	2022-07-13 10:41:02.620	2022-07-13	10:41:02
879453	23208	54319	41	5,53	0	2022-07-13 10:41:07.633	2022-07-13	10:41:07
879454	23208	54319	41	5,52	1	2022-07-13 10:41:12.650	2022-07-13	10:41:12
879455	23208	54319	41	5,56	1	2022-07-13 10:41:17.680	2022-07-13	10:41:17
879456	23208	54319	41	5,54	0	2022-07-13 10:41:22.713	2022-07-13	10:41:22
879457	23208	54319	41	5,55	0	2022-07-13 10:41:27.730	2022-07-13	10:41:27
879458	23208	54319	40	5,57	1	2022-07-13 10:41:32.760	2022-07-13	10:41:32
879459	23208	54319	41	5,58	0	2022-07-13 10:41:37.790	2022-07-13	10:41:37
879460	23208	54319	41	5,75	1	2022-07-13 10:41:42.807	2022-07-13	10:41:42
879461	23208	54319	41	8,34	1	2022-07-13 10:41:47.823	2022-07-13	10:41:47
879462	23208	54319	41	10,72	1	2022-07-13 10:41:52.853	2022-07-13	10:41:52
879463	23208	54319	41	11,09	0	2022-07-13 10:41:57.887	2022-07-13	10:41:57
879464	23208	54319	40	11,06	1	2022-07-13 10:42:02.917	2022-07-13	10:42:02
879465	23208	54319	40	11,07	0	2022-07-13 10:42:07.933	2022-07-13	10:42:07
879466	23208	54319	41	10,98	1	2022-07-13 10:42:12.963	2022-07-13	10:42:12
879467	23208	54319	40	11,03	1	2022-07-13 10:42:17.993	2022-07-13	10:42:17
879468	23208	54319	41	11,04	0	2022-07-13 10:42:23.027	2022-07-13	10:42:23
879469	23208	54319	41	11,01	0	2022-07-13 10:42:28.040	2022-07-13	10:42:28
879470	23208	54319	41	10,97	0	2022-07-13 10:42:33.057	2022-07-13	10:42:33
879471	23208	54319	41	11,01	0	2022-07-13 10:42:38.073	2022-07-13	10:42:38
879472	23208	54319	40	11,01	0	2022-07-13 10:42:43.103	2022-07-13	10:42:43
879473	23208	54319	41	10,98	0	2022-07-13 10:42:48.137	2022-07-13	10:42:48
879474	23208	54319	41	10,02	0	2022-07-13 10:42:53.213	2022-07-13	10:42:53
879475	23208	54319	41	7,13	1	2022-07-13 10:42:58.183	2022-07-13	10:42:58
879476	23208	54319	41	5,51	1	2022-07-13 10:43:03.213	2022-07-13	10:43:03
879477	23208	54319	41	4,56	1	2022-07-13 10:43:08.230	2022-07-13	10:43:08
879478	23208	54319	41	4,67	1	2022-07-13 10:43:13.247	2022-07-13	10:43:13
879479	23208	54319	40	4,55	1	2022-07-13 10:43:18.293	2022-07-13	10:43:18
879480	23208	54319	41	4,56	1	2022-07-13 10:43:23.323	2022-07-13	10:43:23
879481	23208	54319	41	4,55	1	2022-07-13 10:43:28.543	2022-07-13	10:43:28
879482	23208	54319	41	5,71	1	2022-07-13 10:43:33.573	2022-07-13	10:43:33
879483	23208	54319	41	5,72	1	2022-07-13 10:43:39.073	2022-07-13	10:43:39
879484	23208	54319	41	5,75	1	2022-07-13 10:43:50.137	2022-07-13	10:43:50
879485	23208	54319	41	5,65	1	2022-07-13 10:43:58.107	2022-07-13	10:43:58
879486	23208	54319	41	5,71	0	2022-07-13 10:43:58.480	2022-07-13	10:43:58
879487	23208	54319	40	5,6	0	2022-07-13 10:43:59.310	2022-07-13	10:43:59
879488	23208	54319	41	5,65	1	2022-07-13 10:44:03.513	2022-07-13	10:44:03
879489	23208	54319	41	5,65	1	2022-07-13 10:44:08.530	2022-07-13	10:44:08
879490	23208	54319	41	5,65	1	2022-07-13 10:44:13.560	2022-07-13	10:44:13
879491	23208	54319	41	5,73	0	2022-07-13 10:44:18.577	2022-07-13	10:44:18
879492	23208	54319	41	5,7	0	2022-07-13 10:44:23.607	2022-07-13	10:44:23
879493	23208	54319	41	5,66	0	2022-07-13 10:44:28.653	2022-07-13	10:44:28
879494	23208	54319	41	5,7	0	2022-07-13 10:44:33.653	2022-07-13	10:44:33
879495	23208	54319	41	7,11	1	2022-07-13 10:44:38.687	2022-07-13	10:44:38
